OBJECTID,RID,GENERIC_CASE_ID,GENERIC_OFFENDER_ID,CHARGE_NUMBER,SENTENCE_YEAR,RACE,GENDER,AGE_GROUP,OFFENSE,OFFENSE_TYPE,HOMICIDE_TYPE,OFFENSE_SEVERITY_GROUP,SENTENCE_TYPE,SENTENCE_IMPOSED_MONTHS,SENTENCE_SUSPENDED_MONTHS,SENTENCE_TO_SERVE_MONTHS,SENTENCE_PROBATION_MONTHS,VVCA_AMT,FINE_AMT,RESTITUTION_AMT,FINE_SUSPENDED_AMT
7295,7295,7018215,8103961,2,2015,Black,M,41-50,Unauthorized Use of A Vehicle - Crime of Violence,Property,,M7,Short Split,20,14,6,24,100,,,
7296,7296,4206307,5319963,1,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,12,0,12,0,100,0,0,0
7297,7297,4344459,1346059,1,2015,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,20,20,0,24,100,,,
7298,7298,7050306,7733186,1,2015,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Short Split,10,10,1,12,100,0,0,0
7299,7299,8687361,1609649,1,2015,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Long Split,24,12,12,24,100,,,
7300,7300,2670443,2362697,1,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,6,6,0,18,100,,,
7301,7301,4513807,985438,6,2015,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,25,0,25,0,100,0,0,0
7302,7302,8566184,8950708,1,2015,Black,F,18-21,Fraud 2nd Degree $1000 or More (Felony),Other,,M9,Short Split,6,6,1,36,100,,,
7303,7303,4143122,7976363,1,2015,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Probation,9,9,0,12,100,,,
7304,7304,4911518,1635358,1,2015,Black,M,41-50,Attempt to Commit Robbery,Violent,,M8,Incarceration,18,0,18,0,100,0,0,0
7305,7305,3024778,2315143,1,2015,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Short Split,18,18,1,12,100,0,0,0
7306,7306,4546586,6188520,1,2015,Black,M,51-60,Theft Second Degree - Felony,Property,,M9,Incarceration,12,0,12,0,100,0,0,0
7307,7307,1492283,3869535,1,2015,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,14,0,14,0,100,0,0,0
7308,7308,7457913,2313185,1,2015,Black,M,41-50,Attempt to Commit Robbery,Violent,,M8,Incarceration,15,0,15,0,100,0,0,0
7309,7309,7698219,6244311,1,2015,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,18,0,18,0,100,0,0,0
7310,7310,5598954,3518153,1,2015,Black,M,41-50,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,18,0,18,0,100,0,0,0
7311,7311,6018191,9952191,1,2015,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,18,17,1,12,100,0,0,0
7312,7312,1790216,1178955,3,2015,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,14,14,1,12,100,,,
7313,7313,1297228,7664010,1,2015,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,6,0,6,0,100,0,0,0
7314,7314,5269427,4885531,1,2015,Black,F,31-40,Bail Reform Act -Felony,Other,,M9,Short Split,12,12,1,12,100,,,
7315,7315,7716494,1371603,1,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,96,0,96,0,100,0,0,0
7316,7316,5582426,3392448,1,2015,Black,M,41-50,Threat to Kidnap or Injure a Person,Violent,,M8,Probation,18,18,0,18,100,0,0,0
7317,7317,763304,6677556,1,2015,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Incarceration,18,0,18,0,100,0,0,0
7318,7318,6655766,2203896,1,2015,Black,M,31-40,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
7319,7319,6655766,2203896,2,2015,Black,M,31-40,Attempt to Commit Robbery,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0
7320,7320,8563423,416729,1,2015,Black,M,51-60,Burglary Two,Property,,M7,Incarceration,30,0,30,0,100,0,0,0
7321,7321,7517250,3134159,1,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,12,12,0,12,100,0,0,0
7322,7322,1385097,8988006,1,2015,Black,M,51-60,Burglary Two,Property,,M8,Incarceration,14,0,14,0,100,0,0,0
7323,7323,3346033,2242478,1,2015,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Short Split,18,12,6,12,100,0,0,0
7324,7324,454095,5996511,1,2015,Black,M,22-30,Robbery,Violent,,M8,Incarceration,10,0,10,0,100,,,
7325,7325,454095,5996511,3,2015,Black,M,22-30,Burglary Two,Property,,M8,Short Split,10,10,1,12,100,,,
7326,7326,454095,5996511,4,2015,Black,M,22-30,Burglary Two,Property,,M8,Short Split,10,10,1,12,100,,,
7327,7327,1256258,5149204,1,2015,Black,M,71+,Assault with Significant Bodily Injury,Violent,,M8,Short Split,18,18,1,18,100,0,0,0
7328,7328,3487354,9042255,1,2015,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,18,0,18,0,100,0,0,0
7329,7329,2721119,238806,1,2015,Black,M,22-30,Carrying a Pistol Without a License (Outside Home or Place of Business) 2014,Weapon,,M8,Probation,12,12,0,18,100,,,
7330,7330,3953306,6010583,1,2015,Black,M,22-30,Burglary Two,Property,,M8,Probation,9,9,0,12,100,,,
7331,7331,7687618,5028365,1,2015,Pacific Islander,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Probation,6,6,0,24,100,0,0,0
7332,7332,6134846,1816142,2,2015,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Probation,6,6,0,12,100,,,
7333,7333,8729607,872124,1,2015,Black,M,18-21,Receiving Stolen Property $1000 or More,Property,,M9,Short Split,12,12,1,24,100,,,
7334,7334,3712378,9855767,1,2015,Black,M,31-40,Bail Reform Act -Felony,Other,,M9,Incarceration,12,0,12,0,100,0,0,0
7335,7335,7419973,5325539,1,2015,Black,M,51-60,Attempt to Commit Robbery,Violent,,M8,Incarceration,22,0,22,0,100,0,0,0
7336,7336,7419973,5325539,2,2015,Black,M,51-60,Credit Card Fraud-Fel,Other,,M9,Incarceration,12,0,12,0,100,0,0,0
7337,7337,7419973,5325539,3,2015,Black,M,51-60,Credit Card Fraud-Fel,Other,,M9,Incarceration,12,0,12,0,100,0,0,0
7338,7338,7419973,5325539,4,2015,Black,M,51-60,Credit Card Fraud-Fel,Other,,M9,Incarceration,12,0,12,0,100,0,0,0
7339,7339,4039646,1658558,6,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,10,0,10,0,100,0,0,0
7340,7340,8402004,6254501,2,2015,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D2,Probation,18,18,0,18,100,,,
7341,7341,8402004,6254501,3,2015,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,18,18,0,18,100,,,
7342,7342,8402004,6254501,4,2015,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,18,18,0,18,100,,,
7343,7343,8402004,6254501,5,2015,Black,M,41-50,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,18,18,0,18,100,,,
7344,7344,8402004,6254501,6,2015,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,18,18,0,18,100,,,
7345,7345,8402004,6254501,7,2015,Black,M,41-50,Poss W/I to Dist Marijuana-Fel,Drug,,D3,Probation,18,18,0,18,100,,,
7346,7346,8402004,6254501,9,2015,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D2,Probation,18,18,0,18,100,,,
7347,7347,7420065,7274281,1,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,30,0,30,0,100,0,0,0
7348,7348,3621161,2546840,1,2015,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Probation,12,12,0,24,100,0,0,0
7349,7349,894521,327771,2,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,20,0,20,0,100,0,0,0
7350,7350,2129099,1581317,1,2015,Black,M,22-30,Unlawful Possession of a Firearm ( Prior Crime of Violence),Weapon,,M6,Incarceration,40,0,40,0,100,0,0,0
7351,7351,9368515,9592285,3,2015,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,44,0,44,0,100,0,0,0
7352,7352,9368515,9592285,4,2015,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
7353,7353,9368515,9592285,5,2015,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,44,0,44,0,100,0,0,0
7354,7354,8655006,6528897,1,2015,Black,M,22-30,Burglary Two,Property,,M8,Incarceration,12,0,12,0,100,0,0,0
7355,7355,5771814,9572726,1,2015,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,14,14,0,12,100,0,0,0
7356,7356,7481407,1208412,3,2015,Black,M,22-30,Flee Law Enforcement Officer,Other,,M8,Incarceration,15,0,15,0,100,0,0,0
7357,7357,7481407,1208412,10,2015,Black,M,22-30,Destruction of Property $1000 or More,Property,,M8,Incarceration,15,0,15,0,100,0,0,0
7358,7358,7716918,7980973,1,2015,Black,M,18-21,Burglary One,Property,,M8,Short Split,12,12,1,24,100,,,
7359,7359,7716918,7980973,8,2015,Black,M,18-21,Burglary Two,Property,,M7,Short Split,24,24,1,24,100,,,
7360,7360,9223520,7844595,1,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Long Split,18,6,12,12,100,0,0,0
7361,7361,6048439,854444,1,2015,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Probation,6,6,0,12,100,0,0,0
7362,7362,558392,4822116,2,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,12,6,6,24,100,0,0,0
7363,7363,4738679,3822734,3,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,24,0,24,0,100,0,0,0
7364,7364,9176661,2405390,1,2015,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,28,28,1,12,100,,,
7365,7365,9176661,2405390,2,2015,Black,M,22-30,Carrying Dangerous Weapon (Outside Home or Place of Business) 2014,Weapon,,M8,Short Split,28,28,1,12,100,,,
7366,7366,4374014,786807,1,2015,Black,M,22-30,Attempt to Commit Robbery,Violent,,M6,Short Split,30,24,6,24,100,,,
7367,7367,8413374,5573627,1,2015,Black,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D2,Long Split,31,19,12,12,100,0,0,0
7368,7368,4670450,4153603,3,2015,Black,F,41-50,Tampering With Physical Evidence,Other,,M9,Probation,6,6,0,12,100,0,0,0
7369,7369,4912442,3983455,1,2015,Black,M,15-17,Attempt to Commit Robbery,Violent,,M8,Short Split,24,19,5,12,100,,,
7370,7370,1714210,8646580,1,2015,Black,F,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,12,10,2,24,100,0,0,0
7371,7371,1714210,8646580,2,2015,Black,F,22-30,Assault With A Dangerous Weapon,Violent,,M6,Short Split,30,26,4,24,100,0,0,0
7372,7372,817119,8630348,1,2015,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,12,9,3,12,100,0,0,0
7373,7373,633215,2068217,2,2015,Black,M,22-30,Theft First Degree,Property,,M8,Incarceration,14,0,14,0,100,0,0,0
7374,7374,633215,2068217,3,2015,Black,M,22-30,Receiving Stolen Property $1000 or More,Property,,M9,Incarceration,5,0,5,0,100,0,0,0
7375,7375,7371211,8241258,2,2015,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Short Split,12,11,1,12,100,,,
7376,7376,2144429,1067350,1,2015,Black,M,22-30,Contempt - Felony,Other,,M9,Incarceration,8,0,8,0,100,0,0,0
7377,7377,2230192,4911867,1,2015,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,24,0,24,0,100,0,0,0
7378,7378,8184975,3129439,1,2015,Black,M,22-30,Burglary Two,Property,,M7,Short Split,24,24,1,12,100,,,
7379,7379,6049949,4791636,1,2015,Black,M,18-21,Burglary Two,Property,,M7,Long Split,36,12,24,36,100,0,0,0
7380,7380,6049949,4791636,2,2015,Black,M,18-21,Flee Law Enforcement Officer,Other,,M8,Probation,10,10,0,36,100,0,0,0
7381,7381,6397265,2626357,1,2015,Black,M,22-30,Theft First Degree,Property,,M8,Short Split,24,24,1,12,100,,,
7382,7382,7675529,9461920,1,2015,Black,M,31-40,Aggravated Assault Knowingly,Violent,,M6,Incarceration,34,0,34,0,100,0,0,0
7383,7383,7675529,9461920,2,2015,Black,M,31-40,Third Degree Sex Abuse- Force,Sex,,M7,Incarceration,48,0,48,0,150,0,0,0
7384,7384,7675529,9461920,3,2015,Black,M,31-40,Attempt to Commit Robbery,Violent,,M8,Incarceration,14,0,14,0,100,0,0,0
7385,7385,9522257,4937793,1,2015,Black,M,51-60,Theft Second Degree - Felony,Property,,M9,Incarceration,12,0,12,0,100,0,0,0
7386,7386,3061907,310483,1,2015,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,168,0,168,36,350,0,0,0
7387,7387,6275162,5868579,4,2015,Black,M,22-30,Theft Second Degree - Felony,Property,,M9,Incarceration,12,0,12,0,100,0,0,0
7388,7388,342613,3567865,1,2015,Black,M,41-50,Receiving Stolen Property $1000 or More,Property,,M9,Short Split,24,24,1,12,100,0,0,0
7389,7389,9318444,3225922,1,2015,White,M,22-30,Bail Reform Act -Felony,Other,,M9,Incarceration,12,0,12,0,100,,,
7390,7390,575577,6619760,3,2015,Black,M,18-21,Burglary Two,Property,,M7,Incarceration,18,0,18,0,100,0,6095,0
7391,7391,575577,6619760,9,2015,Black,M,18-21,Burglary Two,Property,,M7,Incarceration,18,0,18,0,100,0,1189.75,0
7392,7392,5923992,5656126,1,2015,Black,F,31-40,Bail Reform Act -Felony,Other,,M9,Incarceration,12,0,12,0,100,0,0,0
7393,7393,3536267,6344035,3,2015,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,12,0,12,0,100,0,0,0
7394,7394,3536267,6344035,4,2015,Black,M,22-30,Destruction of Property $1000 or More,Property,,M8,Incarceration,12,0,12,0,100,0,0,0
7395,7395,4794841,70804,1,2015,Black,M,51-60,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Long Split,22,10,12,24,100,0,0,0
7396,7396,4220762,2919891,4,2015,Black,M,18-21,Robbery,Violent,,M5,Incarceration,36,0,36,0,100,0,670,0
7397,7397,4220762,2919891,7,2015,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,72,0,72,0,100,0,0,0
7398,7398,8866696,1872272,2,2015,Black,M,31-40,Assault with Significant Bodily Injury,Violent,,M8,Short Split,24,18,6,12,100,,,
7399,7399,3337938,5635685,1,2015,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0
7400,7400,2660465,4556338,2,2015,Black,F,61-70,Assault W/I To Commit Any Other Offense,Violent,,M8,Short Split,24,24,1,36,100,0,0,0
7401,7401,8012864,7568809,1,2015,Black,M,18-21,Conspiracy to Commit a Crime of Violence,Other,,M5,Incarceration,36,0,36,0,100,0,0,0
7402,7402,742173,5059235,1,2015,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Probation,12,12,0,12,100,0,0,0
7403,7403,3546577,1174376,1,2015,Black,M,18-21,Robbery,Violent,,M6,Incarceration,18,0,18,0,100,,,
7404,7404,3670123,1903817,1,2015,Black,F,31-40,Fraud 2nd Degree $1000 or More (Felony),Other,,M9,Probation,6,6,0,36,100,0,13768,0
7405,7405,5807514,5249867,1,2015,Other or Unknown,M,15-17,Aggravated Assault Knowingly,Violent,,M4,Incarceration,84,0,84,0,100,0,0,0
7406,7406,755786,5947101,1,2015,Black,M,22-30,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,144,0,144,0,100,0,0,0
7407,7407,7773241,4838828,1,2015,Black,M,18-21,Poss W/I to Dist Marijuana-Fel,Drug,,D1,Short Split,30,24,6,24,100,,,
7408,7408,2218974,4997790,1,2015,Other or Unknown,M,31-40,Murder II,Homicide,Murder II,M2,Incarceration,204,0,204,0,100,0,0,0
7409,7409,9005983,2956022,1,2015,Black,M,31-40,Prisoner Escape,Other,,M9,Incarceration,1,0,1,0,100,0,0,0
7410,7410,9149086,5249867,1,2015,Other or Unknown,M,15-17,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
7411,7411,6170459,5883267,2,2015,Hispanic,M,15-17,Aggravated Assault Knowingly,Violent,,M4,Incarceration,108,0,108,0,100,0,0,0
7412,7412,2195934,4791636,1,2015,Black,M,18-21,Burglary Two,Property,,M7,Long Split,36,12,24,36,100,0,0,0
7413,7413,2195934,4791636,2,2015,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Probation,10,10,0,36,100,0,0,0
7414,7414,2195934,4791636,3,2015,Black,M,18-21,Theft First Degree,Property,,M8,Probation,10,10,0,36,100,0,0,0
7415,7415,2195934,4791636,4,2015,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Probation,10,10,0,36,100,0,0,0
7416,7416,2195934,4791636,5,2015,Black,M,18-21,Theft First Degree,Property,,M8,Probation,10,10,0,36,100,0,0,0
7417,7417,2195934,4791636,6,2015,Black,M,18-21,Burglary One,Property,,M5,Long Split,72,12,60,36,100,0,0,0
7418,7418,2195934,4791636,7,2015,Black,M,18-21,Theft First Degree,Property,,M8,Probation,10,10,0,36,100,0,0,0
7419,7419,2521245,694846,1,2015,Other or Unknown,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,12,6,6,9,100,,,
7420,7420,8320582,9226212,1,2015,Black,F,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,10,10,1,12,100,0,0,0
7421,7421,1333658,3660503,1,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Long Split,18,6,12,24,100,0,0,0
7422,7422,2775116,8737396,1,2015,Other or Unknown,M,31-40,Fraud 1st Deg $1000 or More,Other,,M9,Short Split,3,3,1,60,100,0,102466,0
7423,7423,2743155,2338802,2,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,20,15,5,12,100,,,
7424,7424,9407504,6244311,1,2015,Black,M,31-40,Attempt to Commit Robbery,Violent,,M8,Incarceration,18,0,18,0,100,0,0,0
7425,7425,4858475,1816670,1,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,12,0,12,0,100,0,0,0
7426,7426,9753283,7306994,1,2015,Black,M,41-50,Enticing a Child-Felony,Sex,,M8,Short Split,36,30,6,36,100,0,0,0
7427,7427,5878022,4218566,1,2015,Black,M,22-30,Second Degree Child Sex Abuse,Sex,,M8,Incarceration,32,0,32,0,100,0,0,0
7428,7428,645120,342094,1,2015,Black,M,22-30,Flee Law Enforcement Officer,Other,,M8,Probation,24,24,0,2,100,,,
7429,7429,5071415,9951816,1,2015,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,16,16,0,12,100,,,
7430,7430,3297297,5781028,1,2015,Black,M,22-30,Prisoner Escape,Other,,M9,Short Split,10,5,5,12,100,,,
7431,7431,9934663,1513582,1,2015,Black,M,41-50,Burglary One,Property,,M8,Incarceration,36,0,36,0,100,0,0,0
7432,7432,9934663,1513582,2,2015,Black,M,41-50,Burglary One,Property,,M8,Incarceration,36,0,36,0,100,0,0,0
7433,7433,9934663,1513582,3,2015,Black,M,41-50,Burglary One,Property,,M8,Incarceration,36,0,36,0,100,0,0,0
7434,7434,9934663,1513582,4,2015,Black,M,41-50,Burglary One,Property,,M5,Incarceration,55,0,55,0,100,0,0,0
7435,7435,9934663,1513582,5,2015,Black,M,41-50,Identity Theft First Degree,Property,,M8,Incarceration,20,0,20,0,100,0,0,0
7436,7436,9934663,1513582,6,2015,Black,M,41-50,Burglary One,Property,,M5,Incarceration,55,0,55,0,100,0,0,0
7437,7437,5722466,4215695,5,2015,Black,M,22-30,Destruction of Property $1000 or More,Property,,M8,Incarceration,10,0,10,0,100,0,0,0
7438,7438,5722466,4215695,13,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,18,0,18,0,100,0,0,0
7439,7439,2009605,7575174,1,2015,Black,M,51-60,Flee Law Enforcement Officer,Other,,M8,Probation,14,14,0,18,100,,,
7440,7440,8542116,8023059,1,2015,Black,M,22-30,Assault W/I to Kill,Violent,,M5,Incarceration,120,0,120,0,100,0,0,0
7441,7441,8542116,8023059,4,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0
7442,7442,6289490,682006,1,2015,Black,M,61-70,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Long Split,18,6,12,24,100,,,
7443,7443,9214814,1249390,1,2015,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Long Split,18,6,12,12,100,0,0,0
7444,7444,8925880,7898538,1,2015,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,18,17,1,1,100,0,0,0
7445,7445,693232,3717755,1,2015,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M8,Short Split,6,6,1,60,100,,,
7446,7446,7770454,2376495,1,2015,Other or Unknown,F,51-60,Prison Breach,Other,,M9,Short Split,15,15,1,24,100,,,
7447,7447,923018,6836746,1,2015,Black,M,18-21,Burglary Two,Property,,M8,Probation,6,6,0,6,100,,,
7448,7448,5367965,338408,1,2015,Black,M,22-30,Robbery,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
7449,7449,6616803,338408,1,2015,Black,M,22-30,Robbery,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0
7450,7450,217236,7864140,1,2015,Black,M,51-60,Burglary Two,Property,,M7,Probation,36,36,0,36,100,,,
7451,7451,4923616,4529974,2,2015,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,24,18,6,12,100,0,0,0
7452,7452,7787376,8394085,1,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,14,14,0,12,100,,,
7453,7453,9445529,6037197,1,2015,Black,M,18-21,Robbery,Violent,,M6,Short Split,24,21,3,24,100,,,
7454,7454,2630004,7367220,1,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D4,Short Split,18,18,1,24,100,,,
7455,7455,2644643,5378163,2,2015,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,18,18,0,12,100,,,
7456,7456,1965620,7264615,1,2015,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Long Split,24,12,12,12,100,0,0,0
7457,7457,176512,6469734,1,2015,Black,F,41-50,Bail Reform Act -Felony,Other,,M9,Probation,12,12,0,6,100,0,0,0
7458,7458,625981,7036328,1,2015,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,24,22,2,18,100,,,
7459,7459,8897398,7880613,1,2015,Black,M,41-50,Burglary Two,Property,,M7,Short Split,36,36,1,12,100,,,
7460,7460,9826675,9948983,1,2015,Black,M,22-30,Prison Breach,Other,,M9,Incarceration,5,0,5,0,100,0,0,0
7461,7461,132912,6525926,1,2015,Black,F,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
7462,7462,8061783,4252150,4,2015,Other or Unknown,M,31-40,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,20,0,20,0,100,0,0,0
7463,7463,415679,5751526,1,2015,Other or Unknown,M,18-21,Burglary One,Property,,M5,Incarceration,72,0,72,0,100,0,0,0
7464,7464,415679,5751526,5,2015,Other or Unknown,M,18-21,Theft First Degree,Property,,M8,Incarceration,32,0,32,0,100,0,0,0
7465,7465,9927227,1234435,3,2015,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Short Split,6,6,1,12,100,,,
7466,7466,659417,4091349,1,2015,Black,M,18-21,Robbery,Violent,,M5,Short Split,60,57,3,12,100,0,0,0
7467,7467,5287424,3310175,3,2015,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,10,10,0,6,100,0,0,0
7468,7468,1567087,5479683,1,2015,Black,M,51-60,Prison Breach,Other,,M9,Incarceration,9,0,9,0,100,0,0,0
7469,7469,894344,6552012,2,2015,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Short Split,14,13,1,18,100,,,
7470,7470,8105326,4478923,1,2015,Black,M,31-40,Second Degree Child Sex Abuse,Sex,,M6,Incarceration,72,0,72,0,100,0,0,0
7471,7471,8105326,4478923,2,2015,Black,M,31-40,Second Degree Child Sex Abuse,Sex,,M6,Incarceration,72,0,72,0,100,0,0,0
7472,7472,444040,2072403,2,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,18,12,6,12,100,,,
7473,7473,3766484,5705563,1,2015,Black,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,24,24,0,18,100,,,
7474,7474,9413855,7236448,1,2015,Black,M,22-30,Prisoner Escape,Other,,M9,Incarceration,5,0,5,0,100,0,0,0
7475,7475,9386335,3492028,1,2015,Black,M,31-40,Robbery,Violent,,M6,Long Split,156,108,48,52,100,0,0,0
7476,7476,4329474,8870278,1,2015,White,F,31-40,Prison Breach,Other,,M9,Incarceration,6,0,6,0,100,0,0,0
7477,7477,7340076,8220958,1,2015,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Short Split,18,18,1,12,100,,,
7478,7478,7340076,8220958,2,2015,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,18,18,1,12,100,,,
7479,7479,3705374,7794560,1,2015,Black,M,15-17,Robbery,Violent,,M6,Long Split,36,24,12,60,100,,,
7480,7480,3705374,7794560,2,2015,Black,M,15-17,Attempt to Commit Robbery,Violent,,M8,Short Split,24,18,6,60,100,,,
7481,7481,2272087,5682709,1,2015,Black,M,41-50,Kidnapping,Violent,,M8,Incarceration,14,0,14,0,100,0,0,0
7482,7482,2272087,5682709,2,2015,Black,M,41-50,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,24,0,24,0,100,0,0,0
7483,7483,9071233,4722696,1,2015,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Short Split,24,18,6,12,100,,,
7484,7484,9071233,4722696,2,2015,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,24,18,6,12,100,,,
7485,7485,971466,6837415,1,2015,Other or Unknown,M,51-60,Assault With A Dangerous Weapon,Violent,,M8,Probation,10,10,0,12,100,0,0,0
7486,7486,5080057,7611941,1,2015,White,M,22-30,Kidnapping,Violent,,M8,Probation,12,12,0,18,100,,,
7487,7487,9401483,9408418,1,2015,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M6,Long Split,20,8,12,24,100,,,
